"match_id","date","home_team_id","away_team_id","home_goals","away_goals","result"
157015,"2019-08-09",18,23,4,1,1
157016,"2019-08-10",6,14,0,5,-1
157017,"2019-08-10",17,21,1,1,0
157018,"2019-08-10",19,12,3,0,1
157019,"2019-08-10",15,4,0,0,0
157020,"2019-08-11",9,31,0,0,0
157021,"2019-08-10",29,10,0,3,-1
157022,"2019-08-10",13,16,3,1,1
157023,"2019-08-11",2,3,0,1,-1
157024,"2019-08-11",30,8,4,0,1
157025,"2019-08-17",3,19,2,1,1
157026,"2019-08-17",16,17,1,2,-1
157027,"2019-08-17",10,6,1,1,0
157028,"2019-08-18",8,9,1,1,0
157029,"2019-08-17",4,29,1,0,1
157030,"2019-08-17",14,13,2,2,0
157031,"2019-08-17",23,2,3,1,1
157032,"2019-08-18",21,15,1,0,1
157033,"2019-08-17",12,18,1,2,-1
157034,"2019-08-19",31,30,1,1,0
157035,"2019-08-25",17,14,1,3,-1
157036,"2019-08-23",16,4,2,0,1
157037,"2019-08-24",10,12,0,2,-1
157038,"2019-08-24",18,3,3,1,1
157039,"2019-08-24",30,15,1,2,-1
157040,"2019-08-24",23,8,2,3,-1
157041,"2019-08-24",21,9,1,2,-1
157042,"2019-08-25",13,2,0,1,-1
157043,"2019-08-24",29,6,1,3,-1
157044,"2019-08-25",31,19,1,1,0
157045,"2019-09-01",3,13,2,2,0
157046,"2019-08-31",19,18,0,3,-1
157047,"2019-08-31",8,21,2,2,0
157048,"2019-08-31",15,16,1,0,1
157049,"2019-09-01",4,31,3,2,1
157050,"2019-08-31",9,17,3,1,1
157051,"2019-08-31",14,10,4,0,1
157052,"2019-08-31",2,29,1,1,0
157053,"2019-08-31",12,30,1,1,0
157054,"2019-08-31",6,23,2,0,1
157055,"2019-09-15",17,4,3,1,1
157056,"2019-09-16",16,6,0,0,0
157057,"2019-09-14",10,19,1,1,0
157058,"2019-09-14",18,2,3,1,1
157059,"2019-09-14",30,9,1,0,1
157060,"2019-09-14",23,14,3,2,1
157061,"2019-09-14",21,12,0,1,-1
157062,"2019-09-14",13,15,4,0,1
157063,"2019-09-15",29,3,2,2,0
157064,"2019-09-14",31,8,2,5,-1
157065,"2019-09-22",3,16,3,2,1
157066,"2019-09-21",19,23,2,0,1
157067,"2019-09-22",8,18,1,2,-1
157068,"2019-09-22",15,31,1,1,0
157069,"2019-09-21",4,21,0,2,-1
157070,"2019-09-21",9,13,2,1,1
157071,"2019-09-21",14,29,8,0,1
157072,"2019-09-21",2,10,0,0,0
157073,"2019-09-20",12,17,1,3,-1
157074,"2019-09-22",6,30,2,0,1
157075,"2019-09-28",17,6,2,2,0
157076,"2019-09-28",16,19,2,2,0
157077,"2019-09-28",8,10,2,0,1
157078,"2019-09-28",15,23,2,0,1
157079,"2019-09-28",4,14,1,3,-1
157080,"2019-09-29",9,2,5,0,1
157081,"2019-09-30",30,3,1,1,0
157082,"2019-09-28",21,18,0,1,-1
157083,"2019-09-28",13,12,2,1,1
157084,"2019-09-28",31,29,2,0,1
157085,"2019-10-06",3,17,1,0,1
157086,"2019-10-05",10,13,3,0,1
157087,"2019-10-05",19,4,1,0,1
157088,"2019-10-05",18,9,2,1,1
157089,"2019-10-06",14,31,0,2,-1
157090,"2019-10-06",2,30,1,0,1
157091,"2019-10-05",23,16,1,5,-1
157092,"2019-10-06",12,8,1,4,-1
157093,"2019-10-05",29,21,0,0,0
157094,"2019-10-05",6,15,1,2,-1
157095,"2019-10-19",17,23,0,0,0
157096,"2019-10-19",16,10,2,1,1
157097,"2019-10-19",8,2,1,0,1
157098,"2019-10-19",15,14,0,2,-1
157099,"2019-10-19",4,6,2,0,1
157100,"2019-10-19",9,19,2,1,1
157101,"2019-10-20",30,18,1,1,0
157102,"2019-10-21",21,3,1,0,1
157103,"2019-10-19",13,29,1,1,0
157104,"2019-10-19",31,12,1,1,0
157105,"2019-10-27",3,15,2,2,0
