match_id,date,home_team_id,away_team_id,home_goals,away_goals,result
157015,8/9/19,18,23,4,1,1
157016,8/10/19,6,14,0,5,-1
157017,8/10/19,17,21,1,1,0
157018,8/10/19,19,12,3,0,1
157019,8/10/19,15,4,0,0,0
157020,8/11/19,9,31,0,0,0
157021,8/10/19,29,10,0,3,-1
157022,8/10/19,13,16,3,1,1
157023,8/11/19,2,3,0,1,-1
157024,8/11/19,30,8,4,0,1
157025,8/17/19,3,19,2,1,1
157026,8/17/19,16,17,1,2,-1
157027,8/17/19,10,6,1,1,0
157028,8/18/19,8,9,1,1,0
157029,8/17/19,4,29,1,0,1
157030,8/17/19,14,13,2,2,0
157031,8/17/19,23,2,3,1,1
157032,8/18/19,21,15,1,0,1
157033,8/17/19,12,18,1,2,-1
157034,8/19/19,31,30,1,1,0
157035,8/25/19,17,14,1,3,-1
157036,8/23/19,16,4,2,0,1
157037,8/24/19,10,12,0,2,-1
157038,8/24/19,18,3,3,1,1
157039,8/24/19,30,15,1,2,-1
157040,8/24/19,23,8,2,3,-1
157041,8/24/19,21,9,1,2,-1
157042,8/25/19,13,2,0,1,-1
157043,8/24/19,29,6,1,3,-1
157044,8/25/19,31,19,1,1,0
157045,9/1/19,3,13,2,2,0
157046,8/31/19,19,18,0,3,-1
157047,8/31/19,8,21,2,2,0
157048,8/31/19,15,16,1,0,1
157049,9/1/19,4,31,3,2,1
157050,8/31/19,9,17,3,1,1
157051,8/31/19,14,10,4,0,1
157052,8/31/19,2,29,1,1,0
157053,8/31/19,12,30,1,1,0
157054,8/31/19,6,23,2,0,1
157055,9/15/19,17,4,3,1,1
157056,9/16/19,16,6,0,0,0
157057,9/14/19,10,19,1,1,0
157058,9/14/19,18,2,3,1,1
157059,9/14/19,30,9,1,0,1
157060,9/14/19,23,14,3,2,1
157061,9/14/19,21,12,0,1,-1
157062,9/14/19,13,15,4,0,1
157063,9/15/19,29,3,2,2,0
157064,9/14/19,31,8,2,5,-1
157065,9/22/19,3,16,3,2,1
157066,9/21/19,19,23,2,0,1
157067,9/22/19,8,18,1,2,-1
157068,9/22/19,15,31,1,1,0
157069,9/21/19,4,21,0,2,-1
157070,9/21/19,9,13,2,1,1
157071,9/21/19,14,29,8,0,1
157072,9/21/19,2,10,0,0,0
157073,9/20/19,12,17,1,3,-1
157074,9/22/19,6,30,2,0,1
157075,9/28/19,17,6,2,2,0
157076,9/28/19,16,19,2,2,0
157077,9/28/19,8,10,2,0,1
157078,9/28/19,15,23,2,0,1
157079,9/28/19,4,14,1,3,-1
157080,9/29/19,9,2,5,0,1
157081,9/30/19,30,3,1,1,0
157082,9/28/19,21,18,0,1,-1
157083,9/28/19,13,12,2,1,1
157084,9/28/19,31,29,2,0,1
157085,10/6/19,3,17,1,0,1
157086,10/5/19,10,13,3,0,1
157087,10/5/19,19,4,1,0,1
157088,10/5/19,18,9,2,1,1
157089,10/6/19,14,31,0,2,-1
157090,10/6/19,2,30,1,0,1
157091,10/5/19,23,16,1,5,-1
157092,10/6/19,12,8,1,4,-1
157093,10/5/19,29,21,0,0,0
157094,10/5/19,6,15,1,2,-1
157095,10/19/19,17,23,0,0,0
